"snapshot_id","price_rank","merchant_alias","price","min_amount","max_amount","recent_order_num","recent_execute_rate","gap_from_best_pct","snapshot_median_price"
2378,267,"merchant_022",94.0000,3135.00,3135.00,327,100.000,10.5882,91.0000
2378,268,"merchant_201",94.0000,25000.00,231038.13,169,99.000,10.5882,91.0000
2378,269,"merchant_234",94.0000,10000.00,200000.00,1174,99.000,10.5882,91.0000
2378,270,"merchant_050",94.0000,3500.00,27572.93,553,100.000,10.5882,91.0000
2378,271,"merchant_183",94.1500,10000.00,874376.39,1805,100.000,10.7647,91.0000
2378,272,"merchant_023",94.2200,10000.00,271258.55,81,98.000,10.8471,91.0000
2378,273,"merchant_214",94.2300,10000.00,455936.10,53,100.000,10.8588,91.0000
2378,274,"merchant_101",94.2300,20000.00,382507.11,2589,99.000,10.8588,91.0000
2378,275,"merchant_062",94.2300,3000.00,150000.00,2384,100.000,10.8588,91.0000
2378,276,"merchant_105",94.2500,5000.00,21825.74,652,99.000,10.8824,91.0000
2378,277,"merchant_047",94.3900,20000.00,1479869.99,794,98.000,11.0471,91.0000
2378,278,"merchant_210",94.4000,1000.00,200000.00,584,100.000,11.0588,91.0000
2378,279,"merchant_158",94.4000,1000.00,418738.89,1366,99.000,11.0588,91.0000
2378,280,"merchant_168",94.4400,35000.00,155000.00,555,100.000,11.1059,91.0000
2378,281,"merchant_220",94.5000,15000.00,723562.44,401,99.000,11.1765,91.0000
2378,282,"merchant_036",94.5000,500.00,686981.94,831,100.000,11.1765,91.0000
2378,283,"merchant_059",94.5000,10000.00,99492.94,220,92.000,11.1765,91.0000
2378,284,"merchant_205",94.6000,10000.00,50000.00,140,100.000,11.2941,91.0000
2378,285,"merchant_146",94.6200,3000.00,412548.32,1049,100.000,11.3176,91.0000
2378,286,"merchant_220",94.6500,10000.00,552818.07,401,99.000,11.3529,91.0000
2378,287,"merchant_026",94.7000,5000.00,205391.97,366,98.000,11.4118,91.0000
2378,288,"merchant_176",94.8300,850.00,160000.00,4245,100.000,11.5647,91.0000
2378,289,"merchant_235",94.8500,1000.00,52416.67,838,100.000,11.5882,91.0000
2378,290,"merchant_121",94.9600,1000.00,749254.55,1181,99.000,11.7176,91.0000
2378,291,"merchant_146",94.9800,4000.00,414117.94,1049,100.000,11.7412,91.0000
2378,292,"merchant_113",94.9900,3000.00,246180.70,377,100.000,11.7529,91.0000
2378,293,"merchant_154",94.9900,3000.00,339925.61,12,100.000,11.7529,91.0000
2378,294,"merchant_024",94.9900,2000.00,177633.62,1197,100.000,11.7529,91.0000
2378,295,"merchant_016",95.0000,5000.00,100000.00,2257,99.000,11.7647,91.0000
2378,296,"merchant_133",95.0000,50000.00,401968.20,565,98.000,11.7647,91.0000
2378,297,"merchant_123",95.0000,40000.00,500000.00,175,90.000,11.7647,91.0000
2378,298,"merchant_078",95.0000,20000.00,300000.00,1532,99.000,11.7647,91.0000
2378,299,"merchant_053",95.0000,70000.00,500000.00,75,97.000,11.7647,91.0000
2378,300,"merchant_072",95.0000,30000.00,100000.00,564,99.000,11.7647,91.0000
2378,301,"merchant_020",95.0000,4080.00,4080.00,253,99.000,11.7647,91.0000
2378,302,"merchant_025",95.0000,10000.00,822976.73,775,99.000,11.7647,91.0000
2378,303,"merchant_077",95.0000,7000.00,296394.22,430,99.000,11.7647,91.0000
2378,304,"merchant_149",95.0000,5000.00,209011.99,353,100.000,11.7647,91.0000
2378,305,"merchant_203",95.0000,25000.00,248920.14,145,100.000,11.7647,91.0000
